省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,passenger_volume,POP,Built_area,Construction_land_area,wage_average,P_road_area,city,year,P_baidu_index,baidu_index,scale,all_area,downtown_area,Built_area_all,Built_area_downtown,Construction_land_area_all,Construction_land_area_downtown,road_area_all,road_area_downtown,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
广西壮族自治区,自治区,贵港市,地级市,,0.04420312,517.83,20240.0,4842.4214649999985,8538.56925,6.922089428,1.284154029,1660.927169,1590.7471480000004,52653.0,4.11,贵港市,2015,771.9802336,33.0,2,10602.0,3548.0,0.156661684,0.468130544,0.150042176,0.44835038,0.076872288,0.229706877,2.256214689,23961.0,0.4327759470000001,23340.90515,19397.5,2579.1
广西壮族自治区,自治区,桂林市,地级市,,0.085124174,190.23,39329.0,14758.51134,40423.72474,16.30328959,1.072363976,2006.995361,1986.72268,53925.0,9.88,桂林市,2015,1500.178351,74.0,2,27809.0,2767.0,0.072170713,0.72533262,0.071441716,0.718006028,0.045488870999999986,0.457173834,1.341324944,37093.0,0.312558015,44647.66224,19450.9,2805.33
广西壮族自治区,自治区,河池市,地级市,,0.050678016,126.96,17841.0,4676.505167,8660.194753,11.07638909,1.225533027,663.9482644,663.9482644,53638.0,7.68,河池市,2015,837.1521594,29.0,2,33476.0,2346.0,0.01983356,0.2830129,0.01983356,0.2830129,0.007826503,0.111679454,0.495129094,16569.0,0.17712623100000002,30459.68952,19180.1,2730.16
广西壮族自治区,自治区,贺州市,地级市,,0.055988729,204.2,23178.0,8615.478874,22281.41088,6.1892808,1.187302114,1188.341914,2624.255059,55799.0,2.72,贺州市,2015,544.6567104,11.0,2,11753.0,5517.0,0.101109667,0.215396395,0.223283847,0.47566704,0.027312176,0.058183796,0.995998978,11700.0,0.264079446,15909.20215,19536.6,2695.14
广西壮族自治区,自治区,来宾市,地级市,,0.05147727,198.34,25667.0,17212.630119999998,32860.47569,8.767395824,1.2234774309999998,1886.946083,1886.946083,43588.0,5.67,来宾市,2015,552.2769023,12.0,2,13411.0,4363.0,0.140701371,0.432488215,0.140701371,0.432488215,0.047125494,0.14485445800000002,1.235148885,16509.0,0.324458604,22156.95363,19338.2,2640.05
广西壮族自治区,自治区,柳州市,地级市,,0.196612222,205.41,58869.0,33273.78261,60891.02217,6.6317208260000005,0.976764686,4709.52,4709.52,54223.0,16.43,柳州市,2015,1919.641304,75.0,2,18597.0,1017.0,0.253240845,4.63079646,0.253240845,4.63079646,0.105554659,1.930186824,2.416362073,44954.0,0.541431564,51844.77939,19335.5,2761.01
广西壮族自治区,自治区,南宁市,地级市,,0.148851567,332.81,49066.0,44648.62111,96693.11437,8.594463871,1.06510631,4129.601760000001,4100.824047,66749.0,14.13,南宁市,2015,1913.717889,133.0,2,22235.0,6559.0,0.185725287,0.62960844,0.184431034,0.625220925,0.184618844,0.6258576,4.285449113,94657.0,0.948338281,106281.2195,19240.0,2553.1
广西壮族自治区,自治区,钦州市,地级市,,0.048750841,332.18,29560.0,9483.746816,19499.58504,5.192586128,1.26481257,2910.852983,2691.756522,46703.0,8.07,钦州市,2015,751.1878666,24.0,2,12162.0,4836.0,0.239339992,0.601913355,0.221325154,0.556608048,0.098010196,0.246484698,2.80308845,30677.0,0.580944601,32071.62764,19295.2,2454.37
广西壮族自治区,自治区,梧州市,地级市,,0.215644512,273.28,36104.0,14374.74074,26944.28148,6.428517778,1.149711822,1872.059259,1805.2,47517.0,13.4,梧州市,2015,902.6,27.0,2,12588.0,1793.0,0.148717768,1.044093285,0.143406419,1.006804239,0.083651096,0.587283882,1.650940389,20716.0,0.322964201,20647.74732,19499.1,2597.7
广西壮族自治区,自治区,玉林市,地级市,,0.058105322,553.95,25444.0,4439.53931,12265.76276,5.732796414,1.247159594,1193.235862,1193.235862,47658.0,9.51,玉林市,2015,736.9986207000002,42.0,2,12835.0,1251.0,0.092967344,0.953825629,0.092967344,0.953825629,0.080638878,0.827338129,2.8336968380000003,36379.0,0.534355785,34650.30088,19415.8,2482.93
