Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
156,,,海北藏族自治州,2017,,,2205.0,,,,2,100.0,100.0,-1.7916618585586548,-2.260988850593567
157,8.0,,甘孜藏族自治州,2015,,,9613.0,,,,2,100.0,100.0,-1.1110204458236694,2.5509550128664293
158,,,海北藏族自治州,2018,,,2209.0,,,,2,100.0,100.0,-1.7912943363189695,-2.929866490364075
159,,,大兴安岭地区,2017,,,4248.0,,,,2,100.0,100.0,-1.6039526462554932,-0.0037301290952242994
160,5.5322,,阿坝藏族羌族自治州,2008,,,5346.0,,,,2,100.0,100.0,-1.5030691623687744,-0.5718236450070425
161,0.3929,,神农架林区,2009,,,210.0,,,,2,100.0,100.0,-1.9749609231948853,-0.5537963517273174
162,1.1366,,甘南藏族自治州,2005,,,2394.0,,,,2,100.0,100.0,-1.7742967605590818,-0.6311017192261557
163,7.4,,甘孜藏族自治州,2014,,,9811.0,,,,2,100.0,100.0,-1.0928282737731934,2.6314075622104465
164,0.7421,,海南藏族自治州,2009,,,2859.0,,,,2,100.0,100.0,-1.7315728664398191,0.27250976800918614
165,10.9005,,阿坝藏族羌族自治州,2009,,,5466.0,,,,2,100.0,100.0,-1.4920437335968018,0.9994201535554157
166,,,海南藏族自治州,2014,,,2879.0,,84.0,,2,10100.0,10100.0,8.529947280883789,9.044442893862724
167,,,大兴安岭地区,2014,,,4386.0,,,,2,100.0,100.0,-1.5912733078002932,0.8411619798953718
168,1.4218,,甘南藏族自治州,2004,,,2442.0,,,,2,100.0,100.0,-1.769886493682861,-0.6549781935555592
169,2.4309,,迪庆藏族自治州,2002,,,1579.0,,,,2,100.0,100.0,-1.8491783142089844,-0.5089574435353279
170,,,巴音郭楞蒙古自治州,2008,,,32350.0,,,,2,100.0,100.0,0.9780378341674804,1.6188624072551727
171,,,果洛藏族自治州,2020,,,5106.0,,,,2,100.0,100.0,-1.5251202583312988,-3.704034893512725
172,2.3857,,阿坝藏族羌族自治州,2006,,,5718.0,,,,2,100.0,100.0,-1.4688900709152222,-0.47587000710623584
173,,,海南藏族自治州,2008,,,3007.0,,,,2,100.0,100.0,-1.7179747819900513,-0.30655649289488784
174,7.5511,,阿坝藏族羌族自治州,2007,,,5727.0,,,,2,100.0,100.0,-1.4680631160736084,-1.6080449108850388
175,2.4817,,甘孜藏族自治州,2012,,,10409.0,,,,2,100.0,100.0,-1.0378845930099487,2.2828589893522713
176,,,海西蒙古族藏族自治州,2011,,,21023.0,,,,2,100.0,100.0,-0.06267833709716797,0.585723505616188
177,0.3619,,神农架林区,2008,,,227.0,,,,2,100.0,100.0,-1.973399043083191,-1.134344616427141
178,6.95,,阿拉善盟,2011,,,16884.0,,,,2,100.0,100.0,-0.4429664611816406,2.958642412026723
179,,,阿勒泰地区,2006,,,8247.0,,,,2,100.0,100.0,-1.2365274429321291,-0.39139884769916555
180,3.7991,,阿拉善盟,2010,,,17098.0,,,,2,100.0,100.0,-0.4233044385910034,1.031828808784485
181,,,神农架林区,2005,,,234.0,,,,2,100.0,100.0,-1.9727559089660645,-1.2115603214151718
182,0.6656,,黄南藏族自治州,2007,,,1313.0,,,,2,100.0,100.0,-1.8736181259155276,-0.41494598582387
183,1.3324,,甘南藏族自治州,2006,,,2677.0,,,,2,100.0,100.0,-1.7482948303222656,-0.6735477682522366
184,0.515,,黄南藏族自治州,2009,,,1317.0,,,,2,100.0,100.0,-1.8732506036758425,0.13083203077316274
185,0.2651,,黄南藏族自治州,2006,,,1318.0,,,,2,100.0,100.0,-1.873158812522888,-0.18849681437015509
186,5.3088,,阿克苏地区,2002,,,9418.0,,,,2,100.0,100.0,-1.128937005996704,0.26722475204467777
187,,,神农架林区,2003,,,241.0,,,,2,100.0,100.0,-1.9721126556396484,-1.1669299201404346
188,,,神农架林区,2007,,,241.0,,,,2,100.0,100.0,-1.9721126556396484,-1.5408687408531414
189,,,神农架林区,2019,,,241.0,,,,2,100.0,100.0,-1.9721126556396484,-0.003729182972627587
190,,,海北藏族自治州,2019,,,2564.0,,,,2,100.0,100.0,-1.7586772441864014,-2.698762719631195
191,,,阿勒泰地区,2007,,,8778.0,,,,2,100.0,100.0,-1.187739610671997,-0.11524429948329917
192,,,神农架林区,2018,,,244.0,,,,2,100.0,100.0,-1.9718370437622068,-0.19916506262386546
