,register,stock,province,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,city,stock_model_chose,register_model_chose,pr_stock
1467,,19.8377,,2005,0.0036434029207716005,431.0,0.006523598965510842,48.0,,466.2,2,九江市,1111.0,101111.0,11.210176574077138
1468,,8.5632,,2013,0.00202889712520511,74.0,0.009574155674825138,14.0,2.0,282.8,2,陇南市（2004年前为陇南地区）,11111.0,111111.0,10.54192208351605
1469,,5.0199,,2008,0.002486468559973792,335.0,0.005964287780706348,213.0,,129.68,2,白山市,1111.0,101111.0,8.744743607047642
1470,,22.5426,,2013,0.007286770746740658,864.0,0.018746204089267086,57.0,2.0,283.3,2,乌兰察布市（2003年前为乌兰察布盟）,11111.0,111111.0,26.544237193655203
1471,,6.5201,,2007,0.0038598838604639862,633.0,0.004354039249307593,48.0,,352.45,2,乐山市,1111.0,101111.0,10.025817860543343
1472,,52.94,,2012,0.002960053123236576,183.0,0.00812620563947245,17.0,2.0,236.4,2,临沧市（2003年前为临沧地区）,11111.0,111111.0,11.152699025226445
1473,,2.2183,,2005,0.0013138873164417644,122.0,0.004571650237279673,19.0,,246.8,2,来宾市,1111.0,101111.0,5.648424565777647
1474,,6.845,,2007,0.0075593385800987,816.0,0.006236847362631245,72.0,,611.99,2,常德市,1111.0,101111.0,17.977637520538895
1475,,74.8829,,2011,0.0160713174764529,1042.0,0.006240850240336417,79.0,14.0,625.7,2,常德市,11111.0,111111.0,33.141847332984725
1476,,3.6613,,2002,0.0030151510633638786,,0.004826378818517894,53.0,,647.52,2,荆州市,1101.0,101101.0,8.862998978763105
1477,,3.9345,,2008,0.001822555883847736,591.0,0.004892244351666635,62.0,,357.21,2,天水市,1111.0,101111.0,6.786441754347005
1478,,5.9687,,2006,0.006297296185548431,738.0,0.00625904513899629,65.0,,607.75,2,常德市,1111.0,101111.0,15.745783635652211
1479,,2.0476,,2003,0.0012414939377274079,566.0,0.004309279798604306,23.0,,293.69,2,梧州市,1111.0,101111.0,5.329621424032419
1480,,4.55,,2010,0.0024551459987699324,230.0,0.004033445134920632,29.0,,233.37,2,贺州市,1111.0,101111.0,7.291745581854363
1482,,13.4423,,2018,0.005738236880889708,425.0,0.006017780782766375,48.0,57.0,118.0,2,白山市,11111.0,111111.0,14.57541683061806
1484,,3.4179,,2009,0.0010703806791903254,348.0,0.004714298242773077,27.0,,116.65,2,中卫市,1111.0,101111.0,5.317920683321202
1486,,9.6811,,2005,0.004926198041892871,1218.0,0.0068685742441020325,83.0,,577.22,2,襄阳市（2010年前为襄樊市）,1111.0,101111.0,13.74469048004335
1487,,7.34,,2010,0.0011876954051609644,161.0,0.00684601256976379,23.0,,300.38,2,定西市,1111.0,101111.0,7.069441577612716
1489,,31.4305,,2008,0.00152991742290147,236.0,0.006657513419647506,18.0,,248.22,2,保山市,1111.0,101111.0,7.542595642392099
1490,,12.2871,,2011,0.006465300404526811,963.0,0.006575272477704881,53.0,6.0,412.0,2,抚州市,11111.0,111111.0,16.27385852444139
1491,,14.1032,,2004,0.0029941130790388654,388.0,0.006682986277771329,48.0,,464.82,2,九江市,1111.0,101111.0,10.16901529675138
1492,,20.9505,,2015,0.006079936975925714,326.0,0.0090497786954476,43.0,24.0,196.67,2,白城市,11111.0,111111.0,17.378075269430585
1493,,4.9987,,2003,0.0032930299101735752,741.0,0.004934092618584342,59.0,,647.8,2,荆州市,1111.0,101111.0,9.435893941226068
1494,,2.1517,,2003,0.0013056688335793519,320.0,0.007917692100830306,73.0,,194.5,2,鸡西市,1111.0,101111.0,8.055067456492718
1496,,6.7825,,2008,0.004844525237439196,656.0,0.00446903100883799,50.0,,353.5,2,乐山市,1111.0,101111.0,11.862846194886886
1498,,14.9,,2016,0.004690947681906583,360.0,0.00526523977419403,34.0,30.0,155.0,2,雅安市,11111.0,111111.0,12.165454905243443
1500,,2.5226,,2002,0.0006936640700160242,,0.0034643087048398065,27.0,,289.05,2,六盘水市,1101.0,101101.0,3.742398567635382
1501,,3.1913,,2007,0.0011139162316794872,399.0,0.0038995306807839674,48.0,,226.83,2,平凉市,1111.0,101111.0,4.805878427880979
1503,,5.2611,,2003,0.004312848877432089,1108.0,0.006948995696178671,80.0,,578.54,2,襄阳市（2010年前为襄樊市）,1111.0,101111.0,12.710404077778044
1504,,8.1441,,2003,0.004205284207501551,1003.0,0.007491567574216082,67.0,,396.89,2,宜昌市,1111.0,101111.0,12.911431595278492
1505,,10.92,,2011,0.00316543600652448,581.0,0.0070930992935648645,56.0,0.0,179.4,2,白银市,11111.0,111111.0,10.770939458157711
1508,,5.5053,,2009,0.002992967548689161,352.0,0.006148420155144262,40.0,,129.72,2,白山市,1111.0,101111.0,9.780149195268072
1509,,13.2605,,2016,0.0044467490471383165,444.0,0.004129878097817959,66.0,19.0,243.0,2,贺州市,11111.0,111111.0,10.908917975916907
1511,,28.62,,2002,0.003043676838765003,,0.006152786930822631,24.0,,724.0,2,黄冈市,1101.0,101101.0,9.873631161301496
1512,,3.3241,,2004,0.002345854484580884,277.0,0.0074908397782696865,33.0,,280.78,2,松原市,1111.0,101111.0,9.59893756231363
1513,,79.6085,,2012,0.018141010959815275,1289.0,0.0064293493904527,82.0,16.0,629.0,2,常德市,11111.0,111111.0,36.96473380548556
1514,,4.011,,2002,0.0014017071105410256,,0.004498142846693786,68.0,,346.86,2,乐山市,1101.0,101101.0,5.751655049183824
1517,,12.8028,,2009,0.006084983428558191,380.0,0.006618212438542181,35.0,,549.92,2,宜春市,1111.0,101111.0,15.627520370007149
1521,,7.2354,,2009,0.007264894086621516,944.0,0.00678305822040063,89.0,,491.03,2,九江市,1111.0,101111.0,17.84843286383891
1522,,2.1406,,2002,0.001125605500526825,,0.008010486083995658,73.0,,196.03,2,鸡西市,1101.0,101101.0,7.801491475911488
1523,,6.6059,,2013,0.004380968789036668,185.0,0.006963551615106569,25.0,4.0,250.6,2,商洛市,11111.0,111111.0,12.84227051010566
1524,,22.0995,,2014,0.010942077104641786,804.0,0.009005747040690707,53.0,22.0,526.7,2,吉安市,11111.0,111111.0,26.006529122789182
1525,,9.26,,2011,0.0014659584950651812,187.0,0.006984657697552022,23.0,1.0,302.3,2,定西市,11111.0,111111.0,7.665403643304707
1528,,6.1523,,2005,0.003276192503753056,301.0,0.008119291577981698,23.0,,676.0,2,上饶市,1111.0,101111.0,11.710794994177022
1529,,1.49,,2002,0.0006886842075217081,,0.008179698641532476,59.0,,150.93,2,双鸭山市,1101.0,101101.0,7.145705278010404
