,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register
236,3.0567,,酒泉市,2006,173.2453,334.0,16442.0,29.0,,91.16,2,1111.0,101111.0,0.7114819869321964
237,,,阿拉善盟,2018,,,23524.0,,,,2,100.0,100.0,2.1019266486427854
238,,,克孜勒苏柯尔克孜自治州,2013,,,6889.0,,,,2,100.0,100.0,0.6069057062717944
239,,,克孜勒苏柯尔克孜自治州,2016,,,6896.0,,,,2,100.0,100.0,0.607534810365368
240,3.5683,,酒泉市,2007,203.25,340.0,16684.0,29.0,,93.57,2,1111.0,101111.0,0.789208792634065
241,8.4389,,甘孜藏族自治州,2017,,,14958.0,,,,2,100.0,100.0,1.3320829821354268
242,,,大兴安岭地区,2020,,,6676.0,,,,2,100.0,100.0,0.5877629674244832
243,5.0003,,酒泉市,2009,321.0478,421.0,17084.0,37.0,,96.42,2,1111.0,101111.0,1.039589456287609
244,,,阿克苏地区,2005,,,13061.0,,,,2,100.0,100.0,1.1615957727769795
245,,,海北藏族自治州,2020,,,3585.0,,,,2,100.0,100.0,0.3099685741050524
246,23.31,,甘孜藏族自治州,2018,,,15678.0,,,,2,100.0,100.0,1.3967908317601405
247,1.8695,,迪庆藏族自治州,2005,,,2429.0,,,,2,100.0,100.0,0.20607652665203977
248,,,海西蒙古族藏族自治州,2013,,,31529.0,,,,2,100.0,100.0,2.8213521156508876
249,9.3537,,阿坝藏族羌族自治州,2012,,,8710.0,,,,2,100.0,100.0,0.7705626426142996
250,,,巴音郭楞蒙古自治州,2016,,,49522.0,,,,2,100.0,100.0,4.438419252175158
251,4.1552,,酒泉市,2008,248.0173,387.0,17924.0,36.0,,95.8,2,1111.0,101111.0,0.89946161310408
252,,,阿拉善盟,2019,,,25754.0,,,,2,100.0,100.0,2.3023412384526623
253,3.0047,,锡林郭勒盟,2007,,,21563.0,,,,2,100.0,100.0,1.925687630428808
254,10.2,,阿坝藏族羌族自治州,2015,,,9020.0,,,,2,100.0,100.0,0.7984229667582736
255,6.82,,甘南藏族自治州,2015,,,3997.0,,,,2,100.0,100.0,0.3469958436125275
256,6.83,,甘南藏族自治州,2016,,,4015.0,,,,2,100.0,100.0,0.34861353985314536
257,10.5,,阿坝藏族羌族自治州,2016,,,9110.0,,,,2,100.0,100.0,0.8065114479613628
258,,,和田地区,2011,,,27444.0,,,,2,100.0,100.0,2.4542249410440045
259,,,和田地区,2016,,,27455.0,,,,2,100.0,100.0,2.4552135331910487
260,,,海北藏族自治州,2013,,,3910.0,,,,2,100.0,100.0,0.33917697844954126
261,,,黄南藏族自治州,2012,,,2061.0,,,,2,100.0,100.0,0.17300362573274164
262,,,巴音郭楞蒙古自治州,2012,,,54465.0,,,,2,100.0,100.0,4.8826566142514904
263,,,巴音郭楞蒙古自治州,2014,,,54489.0,,,,2,100.0,100.0,4.884813542572315
264,,,大兴安岭地区,2002,,,7674.0,,,,2,100.0,100.0,0.677455236765406
265,,,黄南藏族自治州,2016,,,2094.0,,,,2,100.0,100.0,0.17596940217387433
266,,,海南藏族自治州,2012,,,5184.0,,29.0,,2,10100.0,10100.0,1.9196521027308937
267,,,巴音郭楞蒙古自治州,2015,,,56194.0,,,,2,100.0,100.0,5.0380453253641715
268,3.5023,,锡林郭勒盟,2008,,,23912.0,,,,2,100.0,100.0,2.1367969898294366
269,2.67,,甘南藏族自治州,2010,,,4391.0,,,,2,100.0,100.0,0.38240541687938473
270,10.0472,,阿坝藏族羌族自治州,2013,,,10005.0,,,,2,100.0,100.0,0.8869468999254166
271,,,海南藏族自治州,2017,,,5280.0,,156.0,,2,10100.0,10100.0,8.485020858002088
272,2.1603,,迪庆藏族自治州,2006,,,2820.0,,,,2,100.0,100.0,0.24121648387879407
273,,,阿勒泰地区,2009,,,14367.0,,,,2,100.0,100.0,1.2789686222351409
274,,,阿拉善盟,2020,,,29692.0,,,,2,100.0,100.0,2.6562572270944997
275,,,和田地区,2013,,,30759.0,,,,2,100.0,100.0,2.7521506653577905
276,4.93,,甘南藏族自治州,2014,,,4561.0,,,,2,100.0,100.0,0.39768365915188664
277,,,巴音郭楞蒙古自治州,2013,,,58860.0,,,,2,100.0,100.0,5.2776441130023475
278,0.9739,,兴安盟,2002,,,6920.0,,,,2,100.0,100.0,0.6096917386861918
279,,,和田地区,2014,,,31185.0,,,,2,100.0,100.0,2.790436143052413
280,,,海西蒙古族藏族自治州,2018,,,38007.0,,,,2,100.0,100.0,3.403543018246576
281,14.21,,酒泉市,2015,544.7963,561.0,21757.0,52.0,15.0,111.54,2,11111.0,111111.0,2.0538451942391234
282,,,海南藏族自治州,2018,,,5667.0,,232.0,,2,10100.0,10100.0,12.441472652951063
283,0.8335,,大兴安岭地区,2003,,,8595.0,,,,2,100.0,100.0,0.7602273610770189
284,12.19,,酒泉市,2014,610.5496,454.0,21809.0,49.0,7.0,111.2,2,11111.0,111111.0,1.9486086162084886
