省,省类型,市,市类型,register,stock,person_density,PGDP,autobus,taxi,GDP,passenger_volume,POP,Built_area,Construction_land_area,wage_average,road_area,P_road_area,city,year,baidu_index,scale,all_area,downtown_area,DMSP_mean,DMSP_sum,VNL_mean,VNL_sum,location_x,location_y
广东省,省,深圳市,地级市,,314.7043,1777.67,157985.0,31716.0,,17500.0,6574.0,354.99,900.0,895.0,81034.0,11838.0,33.35,深圳市,2015,247.0,2,1997.0,1997.0,54.01684605,115434.0,18.07198235,195394.2732,19822.6,2508.67
广东省,省,阳江市,地级市,,21.2844,367.02,49894.0,226.0,427.0,1250.0,1467.0,292.12,64.0,76.0,50182.0,976.0,8.12,阳江市,2015,33.0,2,7956.0,2483.0,5.033803863,40653.0,0.8706682170000001,35425.74843,19580.0,2437.05
广东省,省,云浮市,地级市,,15.5106,384.07,29078.0,145.0,125.0,713.1416,2775.0,298.93,21.0,18.0,49934.0,209.0,6.27,云浮市,2015,29.0,2,7785.0,777.0,3.623620026,28228.0,0.56537305,22303.96683,19581.5,2524.39
广东省,省,湛江市,地级市,,31.2999,620.62,32933.0,793.0,1174.0,2380.0,8295.0,822.96,109.0,108.0,50177.0,1282.0,7.88,湛江市,2015,73.0,2,13261.0,1703.0,5.174412571,69808.0,0.888026678,60059.90828,19413.2,2331.53
广东省,省,肇庆市,地级市,,31.9573,294.14,48670.0,627.0,836.0,1970.0,3119.0,438.27,117.0,110.0,54469.0,1444.0,10.74,肇庆市,2015,61.0,2,14891.0,2892.0,4.350063746,64829.0,0.636031521,48251.89532,19623.1,2604.55
广东省,省,中山市,地级市,,71.0303,891.26,94030.0,2411.0,1760.0,3010.0,1665.0,158.68,139.0,116.0,58776.0,771.0,4.86,中山市,2015,107.0,2,1784.0,1784.0,47.5759249,86160.0,8.321704111,76434.85226,19746.3,2493.33
广东省,省,珠海市,地级市,,40.8138,646.65,124706.0,1887.0,3187.0,2030.0,3348.0,112.45,124.0,124.0,67958.0,6099.0,54.24,珠海市,2015,91.0,2,1732.0,1732.0,34.64585466,67698.0,5.562399409,54839.69578,19743.7,2452.52
广西壮族自治区,自治区,百色市,地级市,,19.866,114.09,27363.0,169.0,475.0,980.3511,4241.0,413.19,45.0,42.0,49809.0,449.0,12.52,百色市,2015,20.0,2,36201.0,3718.0,1.079378656,39121.0,0.248057035,45927.01588,19020.2,2661.66
广西壮族自治区,自治区,北海市,地级市,,,515.43,55248.0,400.0,771.0,892.0837,2322.0,171.96,73.0,71.0,49773.0,909.0,14.01,北海市,2015,35.0,2,3337.0,957.0,7.380640083999999,28135.0,1.552779815,29724.864,19327.9,2397.3
广西壮族自治区,自治区,崇左市,地级市,,9.3,143.66,33355.0,91.0,152.0,682.8231,1362.0,248.8,28.0,19.0,47630.0,222.0,6.03,崇左市,2015,0.0,2,17332.0,2918.0,0.897537912,15566.0,0.221211799,19406.46869,19116.4,2494.2
广西壮族自治区,自治区,防城港市,地级市,,9.0321,153.9,67972.0,301.0,333.0,620.7242,899.0,95.61,38.0,36.0,51432.0,664.0,11.7,防城港市,2015,11.0,2,6238.0,2836.0,4.030234802,25060.0,0.6306147120000001,19745.17726,19191.2,2422.59
广西壮族自治区,自治区,贵港市,地级市,,18.8956,517.83,20240.0,207.0,365.0,865.2035,2959.0,548.94,71.0,68.0,52653.0,815.0,4.11,贵港市,2015,33.0,2,10602.0,3548.0,2.256214689,23961.0,0.4327759470000001,23340.90515,19397.5,2579.1
广西壮族自治区,自治区,桂林市,地级市,,41.9896,190.23,39329.0,728.0,1994.0,1940.0,8042.0,528.97,99.0,98.0,53925.0,1265.0,9.88,桂林市,2015,74.0,2,27809.0,2767.0,1.341324944,37093.0,0.312558015,44647.66224,19450.9,2805.33
广西壮族自治区,自治区,河池市,地级市,,17.5555,126.96,17841.0,162.0,300.0,618.0346,3837.0,424.54,23.0,23.0,53638.0,262.0,7.68,河池市,2015,29.0,2,33476.0,2346.0,0.495129094,16569.0,0.17712623100000002,30459.68952,19180.1,2730.16
广西壮族自治区,自治区,贺州市,地级市,,11.3076,204.2,23178.0,174.0,450.0,468.1077,1250.0,239.79,24.0,53.0,55799.0,321.0,2.72,贺州市,2015,11.0,2,11753.0,5517.0,0.995998978,11700.0,0.264079446,15909.20215,19536.6,2695.14
广西壮族自治区,自治区,来宾市,地级市,,11.1851,198.34,25667.0,374.0,714.0,557.6985,1905.0,265.84,41.0,41.0,43588.0,632.0,5.67,来宾市,2015,12.0,2,13411.0,4363.0,1.235148885,16509.0,0.324458604,22156.95363,19338.2,2640.05
广西壮族自治区,自治区,柳州市,地级市,,76.816,205.41,58869.0,1300.0,2379.0,2300.0,2591.0,381.62,184.0,184.0,54223.0,1963.0,16.43,柳州市,2015,75.0,2,18597.0,1017.0,2.416362073,44954.0,0.541431564,51844.77939,19335.5,2761.01
广西壮族自治区,自治区,南宁市,地级市,,103.4492,332.81,49066.0,3103.0,6720.0,3410.0,5973.0,740.23,287.0,285.0,66749.0,4105.0,14.13,南宁市,2015,133.0,2,22235.0,6559.0,4.285449113,94657.0,0.948338281,106281.2195,19240.0,2553.1
广西壮族自治区,自治区,钦州市,地级市,,15.5756,332.18,29560.0,303.0,623.0,944.4242,1659.0,404.1,93.0,86.0,46703.0,1192.0,8.07,钦州市,2015,24.0,2,12162.0,4836.0,2.80308845,30677.0,0.580944601,32071.62764,19295.2,2454.37
广西壮族自治区,自治区,梧州市,地级市,,64.507,273.28,36104.0,430.0,806.0,1080.0,1923.0,343.92,56.0,54.0,47517.0,1053.0,13.4,梧州市,2015,27.0,2,12588.0,1793.0,1.650940389,20716.0,0.322964201,20647.74732,19499.1,2597.7
广西壮族自治区,自治区,玉林市,地级市,,33.113,553.95,25444.0,253.0,699.0,1450.0,3267.0,710.73,68.0,68.0,47658.0,1035.0,9.51,玉林市,2015,42.0,2,12835.0,1251.0,2.8336968380000003,36379.0,0.534355785,34650.30088,19415.8,2482.93
贵州省,省,安顺市,地级市,,,319.41,27065.0,544.0,1585.0,625.41,8223.0,296.49,66.0,59.0,61092.0,630.0,4.81,安顺市,2015,17.0,2,9267.0,2703.0,3.627402289,33597.0,0.695470823,33406.94101,18993.9,2886.08
贵州省,省,毕节市,地级市,,,,22230.0,,,,,,,,,,,毕节市,2015,32.0,2,,,1.11040316,29801.0,0.269001204,37849.27642,18925.2,3008.47
贵州省,省,贵阳市,地级市,,,487.38,63003.0,3185.0,7849.0,2890.0,63580.0,391.79,235.0,,63949.0,2645.0,11.2,贵阳市,2015,123.0,2,8043.0,2525.0,9.073267819,72940.0,1.805134252,75961.85447,19073.0,2977.36
贵州省,省,六盘水市,地级市,,,335.89,41618.0,444.0,1337.0,1200.0,,333.4,72.0,61.0,57597.0,566.0,12.14,六盘水市,2015,25.0,2,9914.0,476.0,3.048768174,30195.0,0.569569856,29339.68242,18888.3,2906.19
贵州省,省,黔东南苗族侗族自治州,自治州,,,,23311.0,,,,,,,,,,,黔东南苗族侗族自治州,2015,,2,,,0.7078458590000001,21418.0,0.21434203,33831.10293,19256.5,2935.04
贵州省,省,黔南布依族苗族自治州,自治州,,,,27888.0,,,,,,,,,,,黔南布依族苗族自治州,2015,,2,,,1.198792187,31364.0,0.298971325,40610.17195,19124.4,2883.58
贵州省,省,黔西南布依族苗族自治州,自治州,,,,28464.0,,,,,,,,,,,黔西南布依族苗族自治州,2015,,2,,,1.737499257,29223.0,0.418865537,36370.51343,18941.8,2806.99
贵州省,省,铜仁市,地级市,,,,24712.0,,,,,,,,,,,铜仁市,2015,23.0,2,,,1.236459489,22281.0,0.285134622,27142.82007,19258.2,3097.59
贵州省,省,遵义市,地级市,,,257.79,35123.0,847.0,2468.0,2170.0,95805.0,793.35,86.0,86.0,66991.0,552.0,6.05,遵义市,2015,55.0,2,30762.0,1316.0,1.381639685,42502.0,0.275231709,44804.69465,19115.3,3123.28
海南省,省,白沙黎族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,保亭黎族苗族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,昌江黎族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,澄迈县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,儋州市,地级市,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,定安县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,东方市,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,海口市,地级市,,,716.15,52534.0,1702.0,2760.0,1160.0,2170.0,164.8,144.0,138.0,57455.0,1672.0,10.15,海口市,2015,100.0,2,2304.0,2304.0,15.68490946,38977.0,3.40972863,42205.62098,19439.1,2196.29
海南省,省,乐东黎族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,临高县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,陵水黎族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,琼海市,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,琼中黎族苗族自治县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,三沙市,地级市,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,三亚市,地级市,,,301.93,58486.0,749.0,2350.0,435.8202,991.0,57.78,68.0,147.0,61502.0,434.0,7.51,三亚市,2015,16.0,2,1921.0,1921.0,15.64734495,38602.0,2.322229108,28245.27264,19332.8,2031.99
海南省,省,屯昌县,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,万宁市,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,文昌市,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,省,五指山市,省直辖县,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,省,保定市,地级市,,,541.81,29067.0,3316.0,6568.0,3000.0,10792.0,1202.19,227.0,219.0,50477.0,3878.0,13.74,保定市,2015,152.0,2,22185.0,2565.0,6.1501352570000005,136410.0,0.7288461159999999,96911.02383,19861.3,4329.15
河北省,省,沧州市,地级市,,,551.48,44819.0,1832.0,7811.0,3320.0,5473.0,774.36,71.0,71.0,54779.0,968.0,17.61,沧州市,2015,122.0,2,14035.0,183.0,9.312853452,133388.0,1.232215158,104627.3891,20004.9,4253.1
河北省,省,承德市,地级市,,,96.73,38505.0,723.0,2540.0,1360.0,1163.0,382.35,117.0,67.0,49071.0,734.0,12.31,承德市,2015,62.0,2,39493.0,1253.0,1.167891722,46078.0,0.238816771,58391.89464,20048.5,4599.57
河北省,省,邯郸市,地级市,,,870.29,33450.0,3695.0,7258.0,3150.0,7129.0,1049.7,127.0,127.0,46650.0,3161.0,17.99,邯郸市,2015,122.0,2,12065.0,564.0,9.963603124,119902.0,1.147467161,80181.56281,19817.4,4052.75
河北省,省,衡水市,地级市,,,512.76,27543.0,555.0,1352.0,1220.0,1920.0,452.26,46.0,43.0,47174.0,742.0,13.27,衡水市,2015,81.0,2,8815.0,603.0,4.572365445,40438.0,0.687305662,35768.07398,19925.1,4192.04
河北省,省,廊坊市,地级市,,,722.34,54460.0,556.0,556.0,2470.0,3832.0,461.13,66.0,66.0,64724.0,937.0,11.02,廊坊市,2015,129.0,2,6382.0,292.0,20.82148425,133549.0,2.286928047,88158.78928,19985.8,4362.22
河北省,省,秦皇岛市,地级市,,,379.39,40746.0,815.0,3619.0,1250.0,1924.0,295.64,131.0,132.0,57451.0,2137.0,15.21,秦皇岛市,2015,87.0,2,7802.0,2132.0,6.731943032,52940.0,1.041476214,49787.77043,20198.7,4471.16
河北省,省,石家庄市,地级市,,,788.14,51043.0,4403.0,7645.0,5440.0,5976.0,1028.84,278.0,264.0,54441.0,5366.0,13.08,石家庄市,2015,178.0,2,13056.0,2194.0,9.238318421,130094.0,1.292037459,107608.6318,19801.8,4227.54
河北省,省,唐山市,地级市,,,560.42,78398.0,3031.0,7353.0,6100.0,2656.0,754.96,249.0,210.0,55565.0,3098.0,9.27,唐山市,2015,133.0,2,13472.0,4574.0,15.40610179,217642.0,2.293356111,196059.0139,20129.2,4422.85
河北省,省,邢台市,地级市,,,627.36,24256.0,2184.0,4677.0,1760.0,3495.0,780.39,90.0,95.0,46944.0,1519.0,17.23,邢台市,2015,115.0,2,12433.0,425.0,5.891391794,73230.0,0.754651475,54839.01339,19838.9,4126.95
河北省,省,张家口市,地级市,,,127.46,30840.0,1917.0,5756.0,1360.0,2081.0,469.01,86.0,86.0,48892.0,1375.0,15.07,张家口市,2015,84.0,2,36797.0,890.0,1.731599848,63664.0,0.327347121,74031.84295,19839.9,4532.98
河南省,省,安阳市,地级市,7.4823,52.4578,839.23,36828.0,682.0,1359.0,1880.0,3784.0,617.45,81.0,81.0,41379.0,1020.0,8.83,安阳市,2015,97.0,2,7352.0,534.0,8.278697422,61014.0,1.040841155,43945.35441,19803.0,3977.06
