,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock
5234,20.7422,,北海市,2017,1230.0,955.0,37008.0,77.0,73.0,175.0,2,11111.0,111111.0,35.699
5235,78.027,,邯郸市,2012,3020.0,3259.0,116848.0,117.0,39.0,993.1,2,11111.0,111111.0,67.24499999999999
5236,125.8253,,烟台市,2015,6450.0,3516.0,137435.0,324.0,117.0,653.28,2,11111.0,111111.0,138.695
5237,9.7021,,鄂州市,2013,630.94,1074.0,15470.0,60.0,9.0,109.8,2,11111.0,111111.0,25.183
5238,29.6478,5.1652,许昌市,2012,1720.0,596.0,48619.0,80.0,23.0,494.2,2,11111.0,111111.0,51.250000000000014
5239,116.8238,,西安市,2011,3860.0,5502.0,98412.0,343.0,64.0,791.8,2,11111.0,111111.0,98.943
5240,204.5618,,杭州市,2013,8340.0,5426.0,164876.0,462.0,103.0,706.6,2,11111.0,111111.0,182.615
5241,31.9663,,江门市,2011,1830.0,1961.0,94797.0,134.0,25.0,393.7,2,11111.0,111111.0,57.60200000000001
5242,97.5744,,合肥市,2014,5180.0,5850.0,112382.0,403.0,142.0,712.8,2,11111.0,111111.0,118.106
5243,49.9693,,蚌埠市,2020,2080.0,2615.0,58492.0,153.0,64.0,,2,11111.0,11111.0,57.834
5244,110.0565,,潍坊市,2011,3540.0,3251.0,157092.0,149.0,53.0,877.6,2,11111.0,111111.0,76.43199999999999
5245,36.6043,5.2871,濮阳市,2013,1130.0,648.0,41749.0,50.0,16.0,417.3,2,11111.0,111111.0,30.117
5246,47.4922,,济宁市,2010,2540.0,1898.0,109945.0,89.0,,843.03,2,1111.0,101111.0,62.371
5247,66.1726,10.405999999999999,新乡市,2015,1980.0,1110.0,81150.0,115.0,100.0,637.44,2,11111.0,111111.0,61.83700000000001
5248,28.0057,,辽阳市,2016,654.1758,1385.0,46277.0,105.0,43.0,179.0,2,11111.0,111111.0,31.851999999999997
5249,56.5907,,威海市,2015,3000.0,3105.0,58788.0,193.0,79.0,254.75,2,11111.0,111111.0,92.92999999999999
5250,4.6843,,舟山市,2009,535.2361,485.0,16000.0,51.0,,96.77,2,1111.0,101111.0,12.443000000000001
5251,20.2412,,营口市,2011,1220.0,718.0,54289.0,103.0,32.0,235.5,2,11111.0,111111.0,38.621
5252,45.2613,,日照市,2015,1670.0,2055.0,53680.0,101.0,63.0,295.95,2,11111.0,111111.0,57.91700000000001
5253,1.9757,,乌海市,2003,67.6298,384.0,16374.0,56.0,,41.6,2,1111.0,101111.0,12.692000000000002
5254,15.8391,,威海市,2005,1170.0,1273.0,59173.0,82.0,,249.09,2,1111.0,101111.0,35.299
5255,36.664,,唐山市,2006,2360.0,2420.0,139953.0,209.0,,719.12,2,1111.0,101111.0,62.438
5256,43.2612,,徐州市,2010,2940.0,2467.0,110487.0,239.0,,972.89,2,1111.0,101111.0,70.69200000000001
5257,60.5772,,徐州市,2012,4020.0,3239.0,110553.0,274.0,35.0,990.5,2,11111.0,111111.0,105.55199999999999
5258,43.9915,,东营市,2012,3000.0,2022.0,78185.0,111.0,37.0,185.5,2,11111.0,111111.0,61.349000000000004
5259,63.5499,,济宁市,2012,3190.0,3484.0,111421.0,125.0,43.0,847.1,2,11111.0,111111.0,69.216
5260,41.0631,,江门市,2013,2000.0,2228.0,96482.0,158.0,20.0,393.0,2,11111.0,111111.0,58.104000000000006
5261,110.9324,13.0301,周口市,2020,3270.0,1005.0,119153.0,79.0,79.0,,2,11111.0,11111.0,66.78200000000001
5262,17.9574,,枣庄市,2008,1090.0,1272.0,45503.0,106.0,,383.24,2,1111.0,101111.0,31.300000000000004
5263,34.8567,,日照市,2013,1500.0,1792.0,54071.0,97.0,19.0,290.1,2,11111.0,111111.0,48.970000000000006
5264,,,邯郸市,2015,3150.0,3161.0,119902.0,127.0,122.0,1049.7,2,11111.0,111111.0,81.891
5265,,,贵阳市,2016,3160.0,2643.0,80184.0,249.0,143.0,401.0,2,11111.0,111111.0,111.083
5266,,,淮安市,2018,3600.0,3752.0,100320.0,190.0,133.0,561.0,2,11111.0,111111.0,94.49799999999999
5267,34.3828,5.9403,许昌市,2013,1880.0,606.0,49794.0,92.0,24.0,499.0,2,11111.0,111111.0,51.250000000000014
5268,44.1541,6.6623,许昌市,2015,2170.0,628.0,49799.0,90.0,84.0,504.77,2,11111.0,111111.0,53.451
5269,25.4832,4.5141,许昌市,2011,1590.0,554.0,49892.0,80.0,28.0,494.1,2,11111.0,111111.0,48.30800000000001
5270,8.5996,,泰州市,2005,822.26,857.0,57987.0,50.0,,502.05,2,1111.0,101111.0,21.569
5271,20.0085,,铜陵市,2019,960.0,740.0,29903.0,81.0,28.0,171.0,2,11111.0,111111.0,31.288
5272,26.4273,,威海市,2009,1780.0,1778.0,59880.0,129.0,,252.97,2,1111.0,101111.0,58.77600000000001
5273,9.8908,,乌海市,2006,152.3965,467.0,16586.0,56.0,,43.35,2,1111.0,101111.0,10.693999999999999
5274,22.8792,,营口市,2013,1510.0,720.0,55172.0,110.0,12.0,232.5,2,11111.0,111111.0,47.62800000000001
5275,10.8018,1.8913,鹤壁市,2012,545.7806,313.0,21460.0,61.0,10.0,163.1,2,11111.0,111111.0,21.060000000000002
5276,41.8667,,武汉市,2006,2590.0,4328.0,86250.0,425.0,,818.84,2,1111.0,101111.0,62.83600000000001
5277,86.8299,,烟台市,2011,4910.0,3335.0,142153.0,269.0,49.0,651.8,2,11111.0,111111.0,113.08999999999999
5278,1.8609,,舟山市,2005,280.1592,415.0,16318.0,52.0,,96.73,2,1111.0,101111.0,10.808
5279,116.8809,,合肥市,2015,5660.0,6348.0,115657.0,416.0,163.0,717.72,2,11111.0,111111.0,128.38400000000001
5280,16.9489,,营口市,2010,1000.0,713.0,55410.0,99.0,,235.53,2,1111.0,101111.0,26.866999999999997
5281,52.6896,,徐州市,2011,3550.0,2604.0,112362.0,249.0,37.0,976.7,2,11111.0,111111.0,101.228
5282,11.1383,,湖州市,2007,892.0238,1567.0,58846.0,72.0,,257.8,2,1111.0,101111.0,22.502
5283,,,太原市,2016,2960.0,4903.0,69751.0,,143.0,370.0,2,10111.0,110111.0,112.37200000000003
5284,8.4357,,乌海市,2007,190.04,503.0,16726.0,73.0,,47.7,2,1111.0,101111.0,12.053
5285,40.9142,6.4951,许昌市,2014,2090.0,622.0,50419.0,88.0,68.0,499.8,2,11111.0,111111.0,54.15700000000002
5286,,,邢台市,2017,2090.0,1519.0,125796.0,103.0,152.0,790.0,2,11111.0,111111.0,68.84700000000001
5287,147.52100000000004,,大连市,2017,6990.0,5362.0,140125.0,404.0,182.0,595.0,2,11111.0,111111.0,206.08100000000005
5288,,,克拉玛依市,2019,973.0,1225.0,72545.0,77.0,27.0,31.0,2,11111.0,111111.0,39.176
5289,6.44,,嘉峪关市,2017,209.87215,,12465.0,,25.0,21.0,2,10101.0,110101.0,27.347
5290,112.9026,,沈阳市,2012,6600.0,6647.0,130645.0,455.0,54.0,724.8,2,11111.0,111111.0,135.606
5291,,,保定市,2017,3450.0,3266.0,225203.0,190.0,201.0,1199.0,2,11111.0,111111.0,103.16699999999999
5292,12.9678,,莆田市,2012,1200.0,829.0,41302.0,55.0,17.0,329.3,2,11111.0,111111.0,32.74300000000001
5293,,,石家庄市,2014,5170.0,5233.0,143081.0,264.0,150.0,1024.9,2,11111.0,111111.0,114.34200000000001
5294,35.7655,,惠州市,2012,2370.0,2010.0,116828.0,229.0,28.0,341.9,2,11111.0,111111.0,89.34
5295,58.63,9.9504,新乡市,2014,1920.0,1100.0,84133.0,113.0,81.0,630.5,2,11111.0,111111.0,57.19200000000001
5296,16.9273,,南通市,2006,1760.0,1282.0,100400.0,59.0,,769.79,2,1111.0,101111.0,61.869000000000014
