Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
1469,5.0199,,白山市,2008,300.3488,335.0,16526.0,213.0,,129.68,2,101111.0,100111.0,0.3407127857208252,15.704119521247017
1470,22.5426,,乌兰察布市（2003年前为乌兰察布盟）,2013,833.7947,864.0,51651.0,57.0,2.0,283.3,2,111111.0,110111.0,-49609.6796875,-13079.575903167723
1471,6.5201,,乐山市,2007,452.9731,633.0,12101.0,48.0,,352.45,2,101111.0,100111.0,-14.285308837890625,13.581064184279668
1472,52.94,,临沧市（2003年前为临沧地区）,2012,352.9771,183.0,22467.0,17.0,2.0,236.4,2,111111.0,110111.0,-52153.15625,-26386.54358164787
1473,2.2183,,来宾市,2005,170.0427,122.0,12699.0,19.0,,246.8,2,101111.0,100111.0,-20.0883731842041,2.215493075507027
1474,6.845,,常德市,2007,864.0845,816.0,17275.0,72.0,,611.99,2,101111.0,100111.0,-9.950972557067873,12.00675396101815
1475,74.8829,,常德市,2011,1810.0,1042.0,17286.0,79.0,14.0,625.7,2,111111.0,110111.0,-54970.84375,-4622.00221887861
1476,3.6613,,荆州市,2002,359.1,,13399.0,53.0,,647.52,2,101101.0,100101.0,-22.702259063720703,12.19777590134565
1477,3.9345,,天水市,2008,226.5698,591.0,13580.0,62.0,,357.21,2,101111.0,100111.0,-15.751766204833984,9.389133952004567
1478,5.9687,,常德市,2006,723.8368,738.0,17336.0,65.0,,607.75,2,101111.0,100111.0,-12.364603996276855,10.36592945098877
1479,2.0476,,梧州市,2003,161.9978,566.0,11978.0,23.0,,293.69,2,101111.0,100111.0,-19.032400131225586,1.4391295869009824
1480,4.55,,贺州市,2010,296.868,230.0,11220.0,29.0,,233.37,2,101111.0,100111.0,-17.471467971801758,1.0194372149876187
1481,,,海东市(2013年前为海东地区）,2011,,,12422.0,,0.0,,2,10100.0,10100.0,-47.35873413085938,6534.690306854248
1482,13.4423,,白山市,2018,661.7099,425.0,16673.0,48.0,57.0,118.0,2,111111.0,110111.0,-56877.23046875,-3928.129742736819
1483,,,赤峰市,2019,1710.0,2491.0,83335.0,114.0,91.0,460.0,2,111111.0,110111.0,-55039.1015625,-15872.361553649906
1484,3.4179,,中卫市,2009,142.9824,348.0,13091.0,27.0,,116.65,2,101111.0,100111.0,-16.780973434448242,0.07500057983398278
1485,25.4636,,延边朝鲜族自治州,2016,,,41688.0,,,,2,100.0,100.0,-35.68811798095703,49011.61363471137
1486,9.6811,,襄阳市（2010年前为襄樊市）,2005,571.47,1218.0,19011.0,83.0,,577.22,2,101111.0,100111.0,-10.056099891662598,21.394482149236342
1487,7.34,,定西市,2010,156.0193,161.0,18949.0,23.0,,300.38,2,101111.0,100111.0,-19.42029571533203,6.062896867479598
1488,3.0841,,临夏回族自治州,2006,,,7860.0,,,,2,100.0,100.0,-61.66900253295898,-36.887954081126615
1489,31.4305,,保山市,2008,194.0496,236.0,18431.0,18.0,,248.22,2,101111.0,100111.0,-18.372055053710934,24.285140891075134
1490,12.2871,,抚州市,2011,742.5067,963.0,18205.0,53.0,6.0,412.0,2,111111.0,110111.0,-52733.4140625,1195.7879261363705
1491,14.1032,,九江市,2004,356.7621,388.0,18501.0,48.0,,464.82,2,101111.0,100111.0,-16.875980377197266,3.6562283238497635
1492,20.9505,,白城市,2015,699.6822,326.0,25005.0,43.0,24.0,196.67,2,111111.0,110111.0,-53759.4765625,-6044.2553920491555
1493,4.9987,,荆州市,2003,389.98,741.0,13695.0,59.0,,647.8,2,101111.0,100111.0,-18.04697608947754,13.886675462161794
1494,2.1517,,鸡西市,2003,169.1294,320.0,21894.0,73.0,,194.5,2,101111.0,100111.0,-12.431110382080078,4.289886908897987
1495,,,恩施土家族苗族自治州,2018,,,23433.0,,,,2,100.0,100.0,-49.70848846435547,42238.154511979046
1496,6.7825,,乐山市,2008,562.3939,656.0,12417.0,50.0,,353.5,2,101111.0,100111.0,-12.719100952148438,15.512145873478477
1497,,,龙岩市,2002,257.858,,18527.0,27.0,,286.85,2,101101.0,100101.0,-19.05496597290039,-1.84966019736396
1498,14.9,,雅安市,2016,545.3272,360.0,14605.0,34.0,30.0,155.0,2,111111.0,110111.0,-54634.01953125,-5956.679498726982
1499,108.3586,,文山壮族苗族自治州,2020,,,30613.0,,,,2,100.0,100.0,-44.19403839111328,18.53010835647583
1500,2.5226,,六盘水市,2002,101.1188,,9656.0,27.0,,289.05,2,101101.0,100101.0,-23.463855743408203,23.660505828857424
1501,3.1913,,平凉市,2007,147.8204,399.0,10852.0,48.0,,226.83,2,101111.0,100111.0,-17.005987167358402,8.500983377184184
