Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
134,,,巴音郭楞蒙古自治州,2006,,,27964.0,,,,2,100.0,100.0,-46.345190538054105,11.047758973960853
135,,,大兴安岭地区,2018,,,3929.0,,,,2,100.0,100.0,-64.8083418022951,-53.70634979661057
136,2.4347,,锡林郭勒盟,2004,,,11891.0,,,,2,100.0,100.0,-58.692110873820496,-25.04387851424177
137,,,海南藏族自治州,2015,,,2605.0,,110.0,,2,10100.0,10100.0,8.660490229044825,60.197029236020306
138,,,阿拉善盟,2014,,,14356.0,,,,2,100.0,100.0,-56.798552818220166,-26.73234642262303
139,1.8132,,阿坝藏族羌族自治州,2004,,,5016.0,,,,2,100.0,100.0,-63.97333263132651,-32.623036438978964
140,,,阿拉善盟,2016,,,14483.0,,,,2,100.0,100.0,-56.70099424902697,-24.805634848391424
141,1.2547,,海南藏族自治州,2007,,,2639.0,,,,2,100.0,100.0,-65.79929104843077,-4.952238940760125
142,0.2454,,黄南藏族自治州,2005,,,1100.0,,,,2,100.0,100.0,-66.98151654440193,-5.83964153337476
143,6.5087,,甘孜藏族自治州,2011,,,9159.0,,,,2,100.0,100.0,-60.79077237803962,-20.672918419074747
144,,,和田地区,2008,,,15139.0,,,,2,100.0,100.0,-56.19706967114712,0.5294617458822444
145,,,克孜勒苏柯尔克孜自治州,2011,,,4274.0,,,,2,100.0,100.0,-64.54332049228206,-13.106593787994562
146,,,海南藏族自治州,2016,,,2673.0,,118.0,,2,10100.0,10100.0,13.294515818008987,65.27300386410893
147,1.4018,,甘南藏族自治州,2003,,,2255.0,,,,2,100.0,100.0,-66.09427128914092,-31.09477003796635
148,0.6312,,海北藏族自治州,2009,,,2116.0,,,,2,100.0,100.0,-66.20104799085631,-4.903242498927845
149,,,和田地区,2009,,,15254.0,,,,2,100.0,100.0,-56.108729234476115,0.8344778687472854
150,,,黄南藏族自治州,2004,,,1119.0,,,,2,100.0,100.0,-66.96692116790847,-5.649238646296645
151,,,海西蒙古族藏族自治州,2010,,,18827.0,,,,2,100.0,100.0,-53.36403027599336,7.410304128522945
152,1.8003,,酒泉市,2002,95.0705,,10574.0,22.0,,96.2,2,1101.0,101101.0,-34.470231122029446,9.99483681153243
153,2.0105,,阿坝藏族羌族自治州,2005,,,5250.0,,,,2,100.0,100.0,-63.79357904714376,-32.66525694515645
154,,,巴音郭楞蒙古自治州,2009,,,29831.0,,,,2,100.0,100.0,-44.911002753143016,12.032204350080384
155,,,巴音郭楞蒙古自治州,2007,,,29979.0,,,,2,100.0,100.0,-44.79731245203598,12.071700980364376
156,,,海北藏族自治州,2017,,,2205.0,,,,2,100.0,100.0,-66.13268017465006,-21.325785704968872
157,8.0,,甘孜藏族自治州,2015,,,9613.0,,,,2,100.0,100.0,-60.44201969761668,-27.62383735578183
158,,,海北藏族自治州,2018,,,2209.0,,,,2,100.0,100.0,-66.12960746380932,-25.88336756165134
159,,,大兴安岭地区,2017,,,4248.0,,,,2,100.0,100.0,-64.56329311274682,-52.82866781467037
160,5.5322,,阿坝藏族羌族自治州,2008,,,5346.0,,,,2,100.0,100.0,-63.71983398696622,-32.87904999682132
161,0.3929,,神农架林区,2009,,,210.0,,,,2,100.0,100.0,-67.66519470646453,-33.94889237498176
162,1.1366,,甘南藏族自治州,2005,,,2394.0,,,,2,100.0,100.0,-65.98749458742553,-34.54502583510677
163,7.4,,甘孜藏族自治州,2014,,,9811.0,,,,2,100.0,100.0,-60.2899205110005,-23.278013100466936
164,0.7421,,海南藏族自治州,2009,,,2859.0,,,,2,100.0,100.0,-65.63029195219057,-4.3324864602621105
165,10.9005,,阿坝藏族羌族自治州,2009,,,5466.0,,,,2,100.0,100.0,-63.6276526617443,-31.189130382520716
166,,,海南藏族自治州,2014,,,2879.0,,84.0,,2,10100.0,10100.0,-6.062836691997987,47.15112071765171
167,,,大兴安岭地区,2014,,,4386.0,,,,2,100.0,100.0,-64.4572845887416,-38.78204714040993
168,1.4218,,甘南藏族自治州,2004,,,2442.0,,,,2,100.0,100.0,-65.95062205733676,-34.202433923915315
169,2.4309,,迪庆藏族自治州,2002,,,1579.0,,,,2,100.0,100.0,-66.61355942122442,-13.648388817552117
170,,,巴音郭楞蒙古自治州,2008,,,32350.0,,,,2,100.0,100.0,-42.97596310119282,13.750568315836546
171,,,果洛藏族自治州,2020,,,5106.0,,,,2,100.0,100.0,-63.90419663741007,-15.783920736768259
172,2.3857,,阿坝藏族羌族自治州,2006,,,5718.0,,,,2,100.0,100.0,-63.434071878778255,-32.57951689727027
173,,,海南藏族自治州,2008,,,3007.0,,,,2,100.0,100.0,-65.51660165108353,-4.591202182117485
174,7.5511,,阿坝藏族羌族自治州,2007,,,5727.0,,,,2,100.0,100.0,-63.42715827938662,-32.67139353519936
175,2.4817,,甘孜藏族自治州,2012,,,10409.0,,,,2,100.0,100.0,-59.830550240311254,-17.12146848118092
176,,,海西蒙古族藏族自治州,2011,,,21023.0,,,,2,100.0,100.0,-51.677112024432155,4.092004531316597
177,0.3619,,神农架林区,2008,,,227.0,,,,2,100.0,100.0,-67.65213568539143,-34.922807670478946
178,6.95,,阿拉善盟,2011,,,16884.0,,,,2,100.0,100.0,-54.856599566878316,-24.757669198364994
179,,,阿勒泰地区,2006,,,8247.0,,,,2,100.0,100.0,-61.49135044972624,-4.098400937711283
