Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_stock,pr_stock_corrected
195,1.612,,甘南藏族自治州,2007,,,2869.0,,,,2,100.0,100.0,1.9116848515724776,1.052627995433178
196,,,海北藏族自治州,2011,,,2695.0,,,,2,100.0,100.0,1.789974948837896,0.9283713940412515
197,,,神农架林区,2004,,,257.0,,,,2,100.0,100.0,0.0846373461545078,0.03841812036608363
198,6.6723,,甘孜藏族自治州,2013,,,11965.0,,,,2,100.0,100.0,8.274174939352665,8.699811292437792
199,5.8,,锡林郭勒盟,2005,,,16003.0,,,,2,100.0,100.0,11.098684061434504,5.697530969022478
200,,,海北藏族自治州,2010,,,2764.0,,,,2,100.0,100.0,1.8382392206119544,1.2950159197073072
201,2.38,,酒泉市,2004,122.2504,303.0,13608.0,22.0,,92.53,2,1111.0,101111.0,4.593146681252231,3.0152148876641807
202,,,克孜勒苏柯尔克孜自治州,2014,,,5775.0,,,,2,100.0,100.0,3.944380123679912,1.7743926523228615
203,,,神农架林区,2020,,,268.0,,,,2,100.0,100.0,0.09233165035037214,0.08299402328241737
204,,,海西蒙古族藏族自治州,2016,,,25011.0,,,,2,100.0,100.0,17.399619715647777,10.268781024472194
205,6.97,,阿拉善盟,2012,,,20028.0,,,,2,100.0,100.0,13.91409991492123,8.221696224963187
206,0.2666,,神农架林区,2006,,,274.0,,,,2,100.0,100.0,0.09652854354811632,0.04991418888205676
207,5.6424,,阿拉善盟,2013,,,20317.0,,,,2,100.0,100.0,14.116250270612573,9.042734309570957
208,,,海南藏族自治州,2010,,,3742.0,,,,2,100.0,100.0,2.5223328118442567,1.776951067908885
209,,,黄南藏族自治州,2008,,,1560.0,,,,2,100.0,100.0,0.9960626522646204,0.6132847470656042
210,1.6596,,迪庆藏族自治州,2004,,,2008.0,,,,2,100.0,100.0,1.3094306776961866,0.9594410013236172
211,2.2543,,甘南藏族自治州,2009,,,3192.0,,,,2,100.0,100.0,2.13761760205104,1.5024590318495938
212,,,海西蒙古族藏族自治州,2014,,,26327.0,,,,2,100.0,100.0,18.320138290353004,10.292194687275646
213,,,神农架林区,2017,,,284.0,,,,2,100.0,100.0,0.10352336554435664,0.069172028040291
214,,,海西蒙古族藏族自治州,2012,,,26383.0,,,,2,100.0,100.0,18.35930929353195,11.955809009066112
