Unnamed: 0,stock,register,city,year,GDP,road_area,DMSP_sum,Built_area,baidu_index,POP,scale,stock_model_chose,register_model_chose,pr_register,pr_register_corrected
2850,,,仙桃市,2016,,,5631.0,,,,2,100.0,100.0,-1.4906314108462777,2.3552417490403963
2851,2.3201,,防城港市,2008,212.1817,301.0,13869.0,19.0,,84.76,2,1111.0,101111.0,0.3704817846873392,0.09038277265950966
2852,13.3069,,安顺市,2013,429.16,418.0,20687.0,41.0,2.0,285.6,2,11111.0,111111.0,-1.4799277097611403,1.251060644934684
2853,40.0674,,安庆市,2016,1530.0,1326.0,30155.0,90.0,62.0,529.0,2,11111.0,111111.0,3.2669984291827965,7.650872793253701
2854,71.9266,,郴州市,2018,2390.0,533.0,43207.0,79.0,89.0,535.0,2,11111.0,111111.0,5.735652180651009,7.147121064722434
2855,28.605,,哈尔滨市,2005,1830.0,2389.0,118694.0,302.0,,974.84,2,1111.0,101111.0,7.153247430748918,6.373154208536373
2856,42.01600000000001,,抚州市,2020,1570.0,2202.0,42055.0,103.0,68.0,,2,11111.0,11111.0,10.33621048435003,5.118780177292045
2857,,,阿克苏地区,2019,,,285958.0,,,,2,100.0,100.0,24.270382884749257,22.44116465925706
2858,8.2243,,滁州市,2006,372.2901,433.0,30259.0,39.0,,439.99,2,1111.0,101111.0,1.7316326913234916,1.1914479662388588
2859,21.3027,,通化市,2017,,417.0,34810.0,57.0,51.0,217.0,2,11110.0,111110.0,-2.023421662991096,1.028981974334612
2860,119.4071,,曲靖市,2017,1940.0,827.0,64799.0,95.0,97.0,661.0,2,11111.0,111111.0,6.952224711672628,10.715130938145371
2861,24.5021,,六安市,2011,821.02,1037.0,34640.0,64.0,14.0,709.6,2,11111.0,111111.0,2.5649504214909093,4.882172456654274
2862,4.1598,,萍乡市,2004,172.55599999999995,531.0,8581.0,58.0,,180.21,2,1111.0,101111.0,0.22157167335646727,-0.2946150648421501
2863,9.4961,,衢州市,2009,626.55,735.0,19893.0,54.0,,249.86,2,1111.0,101111.0,1.6016051950078471,2.2231662330159954
2864,12.8002,,延安市,2009,728.26,172.0,83263.0,26.0,,227.51,2,1111.0,101111.0,3.426255195773537,4.5026080360951815
2865,8.1238,,亳州市,2008,404.22,720.0,19165.0,32.0,,588.77,2,1111.0,101111.0,1.7661320988609024,1.3764758692768795
2866,12.6395,,抚顺市,2008,662.4377,709.0,25412.0,124.0,,223.19,2,1111.0,101111.0,1.6703502820825276,0.7809293893345556
2867,13.6202,,景德镇市,2014,738.2137,805.0,11834.0,79.0,18.0,167.8,2,11111.0,111111.0,-1.9293699933680901,0.9864170136939874
2868,12.251,,咸宁市,2013,872.11,515.0,21980.0,72.0,6.0,300.5,2,11111.0,111111.0,-0.7866407406913725,1.7563693373870413
2869,18.8956,,贵港市,2015,865.2035,815.0,23961.0,71.0,33.0,548.94,2,11111.0,111111.0,1.7538504251427698,4.1006900155408825
2870,6.6956,,本溪市,2007,484.9215,562.0,18979.0,107.0,,155.97,2,1111.0,101111.0,1.0540004047235902,0.5208049663694829
2871,9.1682,,河源市,2011,579.2866,392.0,35330.0,29.0,5.0,366.8,2,11111.0,111111.0,-0.15014410796983402,2.6250111612508262
2872,23.6564,,南充市,2013,1330.0,1410.0,28209.0,109.0,10.0,759.0,2,11111.0,111111.0,2.992755876262291,6.5644030949383865
2873,8.3288,,内江市,2011,854.6836,317.0,12168.0,42.0,9.0,426.1,2,11111.0,111111.0,-0.0488103026073361,3.103941289831095
2874,6.5671,,呼和浩特市,2003,406.2029,979.0,38825.0,120.0,,213.89,2,1111.0,101111.0,1.2792377215012023,1.3293245656325967
2875,,,包头市,2018,2950.0,3035.0,62408.0,211.0,107.0,224.0,2,11111.0,111111.0,4.4680847084303155,5.185680021735677
2876,27.7,,南充市,2014,1430.0,1500.0,28258.0,113.0,38.0,759.0,2,11111.0,111111.0,3.9161417957500912,7.517518754528139
2877,,,荆州市,2015,1590.0,1014.0,31909.0,82.0,67.0,643.19,2,11111.0,111111.0,4.4417173646176265,7.559702709541918
2878,5.6282,,葫芦岛市,2005,299.5243,399.0,24004.0,62.0,,273.72,2,1111.0,101111.0,1.0790234719333207,0.7807626909613328
2879,13.8898,,宿州市,2006,359.01,560.0,22520.0,37.0,,609.94,2,1111.0,101111.0,1.821769292435464,1.2534663553675962
2880,4.8994,,辽源市,2009,336.182,490.0,11646.0,43.0,,123.78,2,1111.0,101111.0,0.5917524589532545,0.6575219977353952
2881,93.4212,,永州市,2019,2020.0,1196.0,50611.0,68.0,75.0,644.0,2,11111.0,111111.0,5.748291963517683,7.28574278434891
2882,,,潜江市,2004,,,4536.0,,,,2,100.0,100.0,-1.5912578601489744,-1.5130771767894284
2883,,,黔西南布依族苗族自治州,2019,,,38186.0,,,,2,100.0,100.0,1.5010526595183775,1.8908372288974367
2884,4.6083,,新余市,2009,484.1748,740.0,7208.0,51.0,,124.61,2,1111.0,101111.0,0.7466861420556605,0.8741231832882861
2885,,,佳木斯市,2017,992.05,637.0,74002.0,97.0,68.0,235.0,2,11111.0,111111.0,2.3529944682800767,3.658961563380294
2886,4.5879,,三门峡市,2002,197.1858,,22598.0,21.0,,219.51,2,1101.0,101101.0,1.3644092095741969,-0.0071099987502847295
2887,13.7479,,延安市,2008,713.2719999999997,171.0,84291.0,24.0,,223.31,2,1111.0,101111.0,3.40937581129416,2.9915427217591986
